Timestamp for sample frequency every 30 min min, Temperature_Celsius,Relative_Humidity
2021-12-29 06:56:00,19.4,49
2021-12-29 07:26:00,19.4,49.5
2021-12-29 07:56:00,19.4,49.4
2021-12-29 08:26:00,19.4,50.3
2021-12-29 08:56:00,19.4,52
2021-12-29 09:26:00,19.4,53.1
2021-12-29 09:56:00,19.4,55
2021-12-29 10:26:00,19.4,56.3
2021-12-29 10:56:00,19.5,57.5
2021-12-29 11:26:00,19.6,59.3
2021-12-29 11:56:00,19.6,60.6
2021-12-29 12:26:00,19.6,61.6
2021-12-29 12:56:00,19.7,62.2
2021-12-29 13:26:00,19.7,62.8
2021-12-29 13:56:00,19.7,62.5
2021-12-29 14:26:00,19.7,58.9
2021-12-29 14:56:00,19.7,56.4
2021-12-29 15:26:00,19.7,54.1
2021-12-29 15:56:00,19.7,52.6
2021-12-29 16:26:00,19.7,52.1
2021-12-29 16:56:00,19.7,51.6
2021-12-29 17:26:00,19.7,51
2021-12-29 17:56:00,19.7,50.5
2021-12-29 18:26:00,19.7,50.3
2021-12-29 18:56:00,19.7,52.2
2021-12-29 19:26:00,19.7,53.2
2021-12-29 19:56:00,19.7,53.8
2021-12-29 20:26:00,19.7,54.7
2021-12-29 20:56:00,19.7,56
2021-12-29 21:26:00,19.7,57.8
2021-12-29 21:56:00,19.8,59.2
2021-12-29 22:26:00,19.7,59.6
2021-12-29 22:56:00,19.7,60.2
2021-12-29 23:26:00,19.8,60.5
2021-12-29 23:56:00,19.8,60.7
2021-12-30 00:26:00,19.8,60.7
2021-12-30 00:56:00,19.8,60.8
2021-12-30 01:26:00,19.8,61.2
2021-12-30 01:56:00,19.8,61.1
2021-12-30 02:26:00,19.8,61.1
2021-12-30 02:56:00,19.8,61.4
2021-12-30 03:26:00,20.8,58.8
2021-12-30 03:56:00,20.1,60.1
2021-12-30 04:26:00,20,60.4
2021-12-30 04:56:00,20,60.3
2021-12-30 05:26:00,19.9,60.1
2021-12-30 05:56:00,19.9,59.8
2021-12-30 06:26:00,19.9,59.8
2021-12-30 06:56:00,19.9,60.1
2021-12-30 07:26:00,19.9,60
2021-12-30 07:56:00,19.9,60.1
2021-12-30 08:26:00,19.9,59.8
2021-12-30 08:56:00,19.9,60
2021-12-30 09:26:00,19.9,59.7
2021-12-30 09:56:00,19.9,60
2021-12-30 10:26:00,19.9,61.1
2021-12-30 10:56:00,19.9,61.3
2021-12-30 11:26:00,19.9,61.5
2021-12-30 11:56:00,19.9,61.1
2021-12-30 12:26:00,19.9,61.6
2021-12-30 12:56:00,20,61.8
2021-12-30 13:26:00,19.9,61.7
2021-12-30 13:56:00,20,62.1
2021-12-30 14:26:00,19.9,61.6
2021-12-30 14:56:00,20,61.6
2021-12-30 15:26:00,19.9,61.1
2021-12-30 15:56:00,19.9,60.6
2021-12-30 16:26:00,19.9,60
2021-12-30 16:56:00,19.9,60.5
2021-12-30 17:26:00,19.9,59.7
2021-12-30 17:56:00,19.9,58.5
2021-12-30 18:26:00,19.9,58.6
2021-12-30 18:56:00,19.9,58.1
2021-12-30 19:26:00,19.9,57.7
2021-12-30 19:56:00,19.9,57.9
2021-12-30 20:26:00,19.9,57.6
2021-12-30 20:56:00,19.9,57.2
2021-12-30 21:26:00,19.9,57.2
2021-12-30 21:56:00,19.9,57.2
2021-12-30 22:26:00,19.9,57.2
2021-12-30 22:56:00,19.9,56.7
2021-12-30 23:26:00,20,56.5
2021-12-30 23:56:00,20,56.3
2021-12-31 00:26:00,19.9,56
2021-12-31 00:56:00,19.9,55.5
2021-12-31 01:26:00,19.9,55.2
2021-12-31 01:56:00,19.9,55.4
2021-12-31 02:26:00,19.9,55.4
2021-12-31 02:56:00,19.9,55.4
2021-12-31 03:26:00,20.9,53.2
2021-12-31 03:56:00,20.1,54.9
2021-12-31 04:26:00,20.1,55.4
2021-12-31 04:56:00,20,55.5
2021-12-31 05:26:00,20,56
2021-12-31 05:56:00,20,55.8
2021-12-31 06:26:00,20,56.8
2021-12-31 06:56:00,20,57
2021-12-31 07:26:00,20,57.5
2021-12-31 07:56:00,20,58.2
2021-12-31 08:26:00,20,58.4
2021-12-31 08:56:00,20,58.5
2021-12-31 09:26:00,20,58.6
2021-12-31 09:56:00,20,58.5
2021-12-31 10:26:00,20,58.9
2021-12-31 10:56:00,20,58.8
2021-12-31 11:26:00,20,58.7
2021-12-31 11:56:00,20,58.8
2021-12-31 12:26:00,20,59
2021-12-31 12:56:00,20,59.3
2021-12-31 13:26:00,20,59.6
2021-12-31 13:56:00,20,59.4
2021-12-31 14:26:00,20,59.1
2021-12-31 14:56:00,20,58.9
2021-12-31 15:26:00,20,58.5
2021-12-31 15:56:00,20,58.8
2021-12-31 16:26:00,20,58.5
2021-12-31 16:56:00,20,58.1
2021-12-31 17:26:00,20,57.9
2021-12-31 17:56:00,20,57.8
2021-12-31 18:26:00,20,57.4
2021-12-31 18:56:00,20,56.8
2021-12-31 19:26:00,20,56.3
2021-12-31 19:56:00,20,57.1
2021-12-31 20:26:00,20,56.9
2021-12-31 20:56:00,20,57.2
2021-12-31 21:26:00,20,57.5
2021-12-31 21:56:00,20,57.5
2021-12-31 22:26:00,20,58.3
2021-12-31 22:56:00,20,59
2021-12-31 23:26:00,20,59.3
2021-12-31 23:56:00,20,59.8
2022-01-01 00:26:00,20,60.2
2022-01-01 00:56:00,20,60.9
2022-01-01 01:26:00,20,60.6
2022-01-01 01:56:00,20,60.9
2022-01-01 02:26:00,20,60.4
2022-01-01 02:56:00,20,60.4
2022-01-01 03:26:00,21,57.2
2022-01-01 03:56:00,20.2,59
2022-01-01 04:26:00,20.1,58.7
2022-01-01 04:56:00,20.1,58.9
2022-01-01 05:26:00,20.1,58.8
2022-01-01 05:56:00,20.1,59
2022-01-01 06:26:00,20.1,58.9
2022-01-01 06:56:00,20.1,57.8
2022-01-01 07:26:00,20.1,56.6
2022-01-01 07:56:00,20.1,55.5
2022-01-01 08:26:00,20,54.5
2022-01-01 08:56:00,20,53.6
2022-01-01 09:26:00,20,52.4
2022-01-01 09:56:00,20,52.1
2022-01-01 10:26:00,20,51.3
2022-01-01 10:56:00,20,51.3
2022-01-01 11:26:00,20,51.6
2022-01-01 11:56:00,20.1,52.1
2022-01-01 12:26:00,20,52.6
2022-01-01 12:56:00,20,53.1
2022-01-01 13:26:00,20,53.5
2022-01-01 13:56:00,20.1,54.1
2022-01-01 14:26:00,20.1,54.6
2022-01-01 14:56:00,20,55.2
2022-01-01 15:26:00,20.1,55.7
2022-01-01 15:56:00,20,55.8
2022-01-01 16:26:00,20,55.9
2022-01-01 16:56:00,20,55.8
2022-01-01 17:26:00,20,56.3
2022-01-01 17:56:00,20,56.5
2022-01-01 18:26:00,20,56.5
2022-01-01 18:56:00,20,56.7
2022-01-01 19:26:00,20,56.6
2022-01-01 19:56:00,20,56.9
2022-01-01 20:26:00,20,57.3
2022-01-01 20:56:00,20,57.5
2022-01-01 21:26:00,20,57.2
2022-01-01 21:56:00,20,57.3
2022-01-01 22:26:00,20,57.3
2022-01-01 22:56:00,20,57.6
2022-01-01 23:26:00,20,57.7
2022-01-01 23:56:00,20,58.1
2022-01-02 00:26:00,20,58.3
2022-01-02 00:56:00,20,57.6
2022-01-02 01:26:00,20,57.4
2022-01-02 01:56:00,20,57
2022-01-02 02:26:00,20,57.1
2022-01-02 02:56:00,20,57.5
2022-01-02 03:26:00,21.1,55.5
2022-01-02 03:56:00,20.2,57.7
2022-01-02 04:26:00,20.2,58.3
2022-01-02 04:56:00,20.1,57.6
2022-01-02 05:26:00,20.1,57.3
2022-01-02 05:56:00,20.1,56.6
2022-01-02 06:26:00,20,53.7
2022-01-02 06:56:00,20,53
2022-01-02 07:26:00,20,52.5
2022-01-02 07:56:00,20,51.8
2022-01-02 08:26:00,20,51.7
2022-01-02 08:56:00,19.9,51.3
2022-01-02 09:26:00,19.9,50.7
2022-01-02 09:56:00,19.9,50
2022-01-02 10:26:00,19.9,49.3
2022-01-02 10:56:00,19.9,49.2
2022-01-02 11:26:00,19.9,49.1
2022-01-02 11:56:00,19.9,49.5
2022-01-02 12:26:00,19.9,49.5
2022-01-02 12:56:00,19.9,50.1
2022-01-02 13:26:00,19.9,51.9
2022-01-02 13:56:00,19.9,51.9
2022-01-02 14:26:00,19.9,51.7
2022-01-02 14:56:00,19.9,52.7
2022-01-02 15:26:00,19.9,50.6
2022-01-02 15:56:00,19.9,50.1
2022-01-02 16:26:00,19.9,49
2022-01-02 16:56:00,19.9,48.6
2022-01-02 17:26:00,19.9,48.8
2022-01-02 17:56:00,19.9,48.6
2022-01-02 18:26:00,19.9,48.5
2022-01-02 18:56:00,19.8,47.9
2022-01-02 19:26:00,19.8,46.6
2022-01-02 19:56:00,19.8,46.3
2022-01-02 20:26:00,19.8,45.1
2022-01-02 20:56:00,19.7,44.2
2022-01-02 21:26:00,19.7,44.1
2022-01-02 21:56:00,19.7,44.1
2022-01-02 22:26:00,19.7,44.7
2022-01-02 22:56:00,19.7,45.5
2022-01-02 23:26:00,19.7,46
2022-01-02 23:56:00,19.7,45.9
2022-01-03 00:26:00,19.8,45.4
2022-01-03 00:56:00,19.7,45.6
2022-01-03 01:26:00,19.7,45.8
2022-01-03 01:56:00,19.6,45.8
2022-01-03 02:26:00,19.7,45.6
2022-01-03 02:56:00,19.6,45.7
2022-01-03 03:26:00,20.6,43.4
2022-01-03 03:56:00,19.9,44.7
2022-01-03 04:26:00,19.8,44.7
2022-01-03 04:56:00,19.8,44.4
2022-01-03 05:26:00,19.7,44.9
2022-01-03 05:56:00,19.7,44.5
2022-01-03 06:26:00,19.7,44.7
2022-01-03 06:56:00,19.7,44.9
2022-01-03 07:26:00,19.7,45.4
2022-01-03 07:56:00,19.7,45.6
2022-01-03 08:26:00,19.6,45.9
2022-01-03 08:56:00,19.6,45.5
2022-01-03 09:26:00,19.6,44.8
2022-01-03 09:56:00,19.6,44.3
2022-01-03 10:26:00,19.6,43.4
2022-01-03 10:56:00,19.6,43.5
2022-01-03 11:26:00,19.6,43.7
2022-01-03 11:56:00,19.7,44.1
2022-01-03 12:26:00,19.6,44.5
2022-01-03 12:56:00,19.7,44.8
2022-01-03 13:26:00,19.7,44.7
2022-01-03 13:56:00,19.7,44.8
2022-01-03 14:26:00,19.7,44.9
2022-01-03 14:56:00,19.7,44.7
2022-01-03 15:26:00,19.7,44.8
2022-01-03 15:56:00,19.6,45.2
2022-01-03 16:26:00,19.7,45.2
2022-01-03 16:56:00,19.7,45.6
2022-01-03 17:26:00,19.7,45.9
2022-01-03 17:56:00,19.7,46
2022-01-03 18:26:00,19.6,46.5
2022-01-03 18:56:00,19.6,46.6
2022-01-03 19:26:00,19.6,46.7
2022-01-03 19:56:00,19.6,46.9
2022-01-03 20:26:00,19.6,47
2022-01-03 20:56:00,19.6,47.1
2022-01-03 21:26:00,19.6,47
2022-01-03 21:56:00,19.6,47.1
